2026-09-02 20:20:32 | Temperature: 64 C | Vibration: 10 mm/s | Pressure: 110 PSI | Status: CRITICAL
2026-09-02 20:20:35 | Temperature: 90 C | Vibration: 9 mm/s | Pressure: 82 PSI | Status: WARNING
2026-09-02 20:42:13 | Temperature: 79 C | Vibration: 9 mm/s | Pressure: 111 PSI | Status: WARNING
2026-09-02 20:42:16 | Temperature: 68 C | Vibration: 10 mm/s | Pressure: 106 PSI | Status: CRITICAL
2026-09-02 20:42:19 | Temperature: 105 C | Vibration: 7 mm/s | Pressure: 97 PSI | Status: CRITICAL
2026-09-02 20:58:07 | Temperature: 83 C | Vibration: 5 mm/s | Pressure: 95 PSI | Status: NORMAL
2026-09-02 21:10:54 | Temperature: 89 C | Vibration: 6 mm/s | Pressure: 94 PSI | Status: NORMAL
2026-09-02 21:10:57 | Temperature: 92 C | Vibration: 5 mm/s | Pressure: 92 PSI | Status: WARNING
2026-09-02 21:12:12 | Temperature: 89 C | Vibration: 4 mm/s | Pressure: 96 PSI | Status: NORMAL
2026-09-02 21:12:15 | Temperature: 100 C | Vibration: 2 mm/s | Pressure: 99 PSI | Status: WARNING
2026-09-02 21:12:18 | Temperature: 105 C | Vibration: 7 mm/s | Pressure: 108 PSI | Status: CRITICAL
2026-09-02 21:12:21 | Temperature: 110 C | Vibration: 10 mm/s | Pressure: 103 PSI | Status: CRITICAL
2026-09-03 21:26:48 | Machine: Compressor-C | Temperature: 78 C | Vibration: 8 mm/s | Pressure: 110 PSI | Status: WARNING
2026-09-03 21:26:48 | Machine: Motor-A | Temperature: 78 C | Vibration: 8 mm/s | Pressure: 110 PSI | Status: WARNING
2026-09-03 21:26:48 | Machine: Pump-B | Temperature: 78 C | Vibration: 8 mm/s | Pressure: 110 PSI | Status: WARNING
2026-09-03 21:26:51 | Machine: Motor-A | Temperature: 76 C | Vibration: 1 mm/s | Pressure: 98 PSI | Status: NORMAL
2026-09-03 21:26:51 | Machine: Pump-B | Temperature: 76 C | Vibration: 1 mm/s | Pressure: 98 PSI | Status: NORMAL
2026-09-03 21:26:51 | Machine: Compressor-C | Temperature: 76 C | Vibration: 1 mm/s | Pressure: 98 PSI | Status: NORMAL
2026-09-03 21:26:54 | Machine: Compressor-C | Temperature: 81 C | Vibration: 6 mm/s | Pressure: 83 PSI | Status: NORMAL
2026-09-03 21:26:54 | Machine: Motor-A | Temperature: 81 C | Vibration: 6 mm/s | Pressure: 83 PSI | Status: NORMAL
2026-09-03 21:26:54 | Machine: Pump-B | Temperature: 81 C | Vibration: 6 mm/s | Pressure: 83 PSI | Status: NORMAL
2026-09-03 21:26:57 | Machine: Motor-A | Temperature: 102 C | Vibration: 5 mm/s | Pressure: 93 PSI | Status: CRITICAL
2026-09-03 21:26:57 | Machine: Compressor-C | Temperature: 102 C | Vibration: 5 mm/s | Pressure: 93 PSI | Status: CRITICAL
2026-09-03 21:26:57 | Machine: Pump-B | Temperature: 102 C | Vibration: 5 mm/s | Pressure: 93 PSI | Status: CRITICAL
2026-09-03 21:27:00 | Machine: Pump-B | Temperature: 76 C | Vibration: 1 mm/s | Pressure: 82 PSI | Status: NORMAL
2026-09-03 21:27:00 | Machine: Motor-A | Temperature: 76 C | Vibration: 1 mm/s | Pressure: 82 PSI | Status: NORMAL
2026-09-03 21:27:00 | Machine: Compressor-C | Temperature: 76 C | Vibration: 1 mm/s | Pressure: 82 PSI | Status: NORMAL
2026-09-03 21:27:03 | Machine: Motor-A | Temperature: 69 C | Vibration: 5 mm/s | Pressure: 106 PSI | Status: NORMAL
2026-09-03 21:27:03 | Machine: Pump-B | Temperature: 69 C | Vibration: 5 mm/s | Pressure: 106 PSI | Status: NORMAL
2026-09-03 21:27:03 | Machine: Compressor-C | Temperature: 69 C | Vibration: 5 mm/s | Pressure: 106 PSI | Status: NORMAL
2026-09-03 21:27:06 | Machine: Pump-B | Temperature: 73 C | Vibration: 8 mm/s | Pressure: 95 PSI | Status: WARNING
2026-09-03 21:27:06 | Machine: Motor-A | Temperature: 73 C | Vibration: 8 mm/s | Pressure: 95 PSI | Status: WARNING
2026-09-03 21:27:06 | Machine: Compressor-C | Temperature: 73 C | Vibration: 8 mm/s | Pressure: 95 PSI | Status: WARNING
2026-09-03 21:27:09 | Machine: Motor-A | Temperature: 64 C | Vibration: 8 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:27:09 | Machine: Pump-B | Temperature: 64 C | Vibration: 8 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:27:09 | Machine: Compressor-C | Temperature: 64 C | Vibration: 8 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:27:12 | Machine: Pump-B | Temperature: 107 C | Vibration: 4 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 21:27:12 | Machine: Motor-A | Temperature: 107 C | Vibration: 4 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 21:27:12 | Machine: Compressor-C | Temperature: 107 C | Vibration: 4 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 21:27:15 | Machine: Pump-B | Temperature: 62 C | Vibration: 10 mm/s | Pressure: 104 PSI | Status: CRITICAL
2026-09-03 21:27:15 | Machine: Motor-A | Temperature: 62 C | Vibration: 10 mm/s | Pressure: 104 PSI | Status: CRITICAL
2026-09-03 21:27:15 | Machine: Compressor-C | Temperature: 62 C | Vibration: 10 mm/s | Pressure: 104 PSI | Status: CRITICAL
2026-09-03 21:27:18 | Machine: Pump-B | Temperature: 77 C | Vibration: 2 mm/s | Pressure: 95 PSI | Status: NORMAL
2026-09-03 21:27:18 | Machine: Compressor-C | Temperature: 77 C | Vibration: 2 mm/s | Pressure: 95 PSI | Status: NORMAL
2026-09-03 21:27:18 | Machine: Motor-A | Temperature: 77 C | Vibration: 2 mm/s | Pressure: 95 PSI | Status: NORMAL
2026-09-03 21:27:21 | Machine: Pump-B | Temperature: 107 C | Vibration: 7 mm/s | Pressure: 116 PSI | Status: CRITICAL
2026-09-03 21:27:21 | Machine: Compressor-C | Temperature: 107 C | Vibration: 7 mm/s | Pressure: 116 PSI | Status: CRITICAL
2026-09-03 21:27:21 | Machine: Motor-A | Temperature: 107 C | Vibration: 7 mm/s | Pressure: 116 PSI | Status: CRITICAL
2026-09-03 21:27:24 | Machine: Pump-B | Temperature: 85 C | Vibration: 4 mm/s | Pressure: 97 PSI | Status: NORMAL
2026-09-03 21:27:24 | Machine: Compressor-C | Temperature: 85 C | Vibration: 4 mm/s | Pressure: 97 PSI | Status: NORMAL
2026-09-03 21:27:24 | Machine: Motor-A | Temperature: 85 C | Vibration: 4 mm/s | Pressure: 97 PSI | Status: NORMAL
2026-09-03 21:27:27 | Machine: Compressor-C | Temperature: 93 C | Vibration: 2 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 21:27:27 | Machine: Pump-B | Temperature: 93 C | Vibration: 2 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 21:27:27 | Machine: Motor-A | Temperature: 93 C | Vibration: 2 mm/s | Pressure: 105 PSI | Status: WARNING
2026-09-03 21:27:30 | Machine: Compressor-C | Temperature: 83 C | Vibration: 1 mm/s | Pressure: 84 PSI | Status: NORMAL
2026-09-03 21:27:30 | Machine: Pump-B | Temperature: 83 C | Vibration: 1 mm/s | Pressure: 84 PSI | Status: NORMAL
2026-09-03 21:27:30 | Machine: Motor-A | Temperature: 83 C | Vibration: 1 mm/s | Pressure: 84 PSI | Status: NORMAL
2026-09-03 21:27:34 | Machine: Motor-A | Temperature: 93 C | Vibration: 8 mm/s | Pressure: 103 PSI | Status: WARNING
2026-09-03 21:27:34 | Machine: Compressor-C | Temperature: 93 C | Vibration: 8 mm/s | Pressure: 103 PSI | Status: WARNING
2026-09-03 21:27:34 | Machine: Pump-B | Temperature: 93 C | Vibration: 8 mm/s | Pressure: 103 PSI | Status: WARNING
2026-09-03 21:27:37 | Machine: Pump-B | Temperature: 66 C | Vibration: 6 mm/s | Pressure: 103 PSI | Status: NORMAL
2026-09-03 21:27:37 | Machine: Motor-A | Temperature: 66 C | Vibration: 6 mm/s | Pressure: 103 PSI | Status: NORMAL
2026-09-03 21:27:37 | Machine: Compressor-C | Temperature: 66 C | Vibration: 6 mm/s | Pressure: 103 PSI | Status: NORMAL
2026-09-03 21:27:40 | Machine: Motor-A | Temperature: 92 C | Vibration: 1 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:27:40 | Machine: Pump-B | Temperature: 92 C | Vibration: 1 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:27:40 | Machine: Compressor-C | Temperature: 92 C | Vibration: 1 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:27:43 | Machine: Motor-A | Temperature: 92 C | Vibration: 5 mm/s | Pressure: 112 PSI | Status: WARNING
2026-09-03 21:27:43 | Machine: Pump-B | Temperature: 92 C | Vibration: 5 mm/s | Pressure: 112 PSI | Status: WARNING
2026-09-03 21:27:43 | Machine: Compressor-C | Temperature: 92 C | Vibration: 5 mm/s | Pressure: 112 PSI | Status: WARNING
2026-09-03 21:27:46 | Machine: Motor-A | Temperature: 66 C | Vibration: 2 mm/s | Pressure: 81 PSI | Status: NORMAL
2026-09-03 21:27:46 | Machine: Pump-B | Temperature: 66 C | Vibration: 2 mm/s | Pressure: 81 PSI | Status: NORMAL
2026-09-03 21:27:46 | Machine: Compressor-C | Temperature: 66 C | Vibration: 2 mm/s | Pressure: 81 PSI | Status: NORMAL
2026-09-03 21:27:49 | Machine: Motor-A | Temperature: 105 C | Vibration: 9 mm/s | Pressure: 87 PSI | Status: CRITICAL
2026-09-03 21:27:49 | Machine: Compressor-C | Temperature: 105 C | Vibration: 9 mm/s | Pressure: 87 PSI | Status: CRITICAL
2026-09-03 21:27:49 | Machine: Pump-B | Temperature: 105 C | Vibration: 9 mm/s | Pressure: 87 PSI | Status: CRITICAL
2026-09-03 21:27:52 | Machine: Compressor-C | Temperature: 79 C | Vibration: 5 mm/s | Pressure: 92 PSI | Status: NORMAL
2026-09-03 21:27:52 | Machine: Motor-A | Temperature: 79 C | Vibration: 5 mm/s | Pressure: 92 PSI | Status: NORMAL
2026-09-03 21:27:52 | Machine: Pump-B | Temperature: 79 C | Vibration: 5 mm/s | Pressure: 92 PSI | Status: NORMAL
2026-09-03 21:27:55 | Machine: Compressor-C | Temperature: 70 C | Vibration: 9 mm/s | Pressure: 97 PSI | Status: WARNING
2026-09-03 21:27:55 | Machine: Motor-A | Temperature: 70 C | Vibration: 9 mm/s | Pressure: 97 PSI | Status: WARNING
2026-09-03 21:27:55 | Machine: Pump-B | Temperature: 70 C | Vibration: 9 mm/s | Pressure: 97 PSI | Status: WARNING
2026-09-03 21:27:58 | Machine: Compressor-C | Temperature: 75 C | Vibration: 9 mm/s | Pressure: 85 PSI | Status: WARNING
2026-09-03 21:27:58 | Machine: Motor-A | Temperature: 75 C | Vibration: 9 mm/s | Pressure: 85 PSI | Status: WARNING
2026-09-03 21:27:58 | Machine: Pump-B | Temperature: 75 C | Vibration: 9 mm/s | Pressure: 85 PSI | Status: WARNING
2026-09-03 21:28:01 | Machine: Compressor-C | Temperature: 68 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: WARNING
2026-09-03 21:28:01 | Machine: Motor-A | Temperature: 68 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: WARNING
2026-09-03 21:28:01 | Machine: Pump-B | Temperature: 68 C | Vibration: 9 mm/s | Pressure: 90 PSI | Status: WARNING
2026-09-03 21:28:04 | Machine: Motor-A | Temperature: 75 C | Vibration: 4 mm/s | Pressure: 93 PSI | Status: NORMAL
2026-09-03 21:28:04 | Machine: Compressor-C | Temperature: 75 C | Vibration: 4 mm/s | Pressure: 93 PSI | Status: NORMAL
2026-09-03 21:28:04 | Machine: Pump-B | Temperature: 75 C | Vibration: 4 mm/s | Pressure: 93 PSI | Status: NORMAL
2026-09-03 21:28:07 | Machine: Motor-A | Temperature: 84 C | Vibration: 1 mm/s | Pressure: 96 PSI | Status: NORMAL
2026-09-03 21:28:07 | Machine: Compressor-C | Temperature: 84 C | Vibration: 1 mm/s | Pressure: 96 PSI | Status: NORMAL
2026-09-03 21:28:07 | Machine: Pump-B | Temperature: 84 C | Vibration: 1 mm/s | Pressure: 96 PSI | Status: NORMAL
2026-09-03 21:28:10 | Machine: Pump-B | Temperature: 76 C | Vibration: 5 mm/s | Pressure: 80 PSI | Status: NORMAL
2026-09-03 21:28:10 | Machine: Compressor-C | Temperature: 76 C | Vibration: 5 mm/s | Pressure: 80 PSI | Status: NORMAL
2026-09-03 21:28:10 | Machine: Motor-A | Temperature: 76 C | Vibration: 5 mm/s | Pressure: 80 PSI | Status: NORMAL
2026-09-03 21:28:13 | Machine: Pump-B | Temperature: 77 C | Vibration: 6 mm/s | Pressure: 106 PSI | Status: NORMAL
2026-09-03 21:28:13 | Machine: Compressor-C | Temperature: 77 C | Vibration: 6 mm/s | Pressure: 106 PSI | Status: NORMAL
2026-09-03 21:28:13 | Machine: Motor-A | Temperature: 77 C | Vibration: 6 mm/s | Pressure: 106 PSI | Status: NORMAL
2026-09-03 21:28:16 | Machine: Pump-B | Temperature: 107 C | Vibration: 10 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 21:28:16 | Machine: Motor-A | Temperature: 107 C | Vibration: 10 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 21:28:16 | Machine: Compressor-C | Temperature: 107 C | Vibration: 10 mm/s | Pressure: 117 PSI | Status: CRITICAL
2026-09-03 21:28:19 | Machine: Compressor-C | Temperature: 98 C | Vibration: 9 mm/s | Pressure: 84 PSI | Status: WARNING
2026-09-03 21:28:19 | Machine: Motor-A | Temperature: 98 C | Vibration: 9 mm/s | Pressure: 84 PSI | Status: WARNING
2026-09-03 21:28:19 | Machine: Pump-B | Temperature: 98 C | Vibration: 9 mm/s | Pressure: 84 PSI | Status: WARNING
2026-09-03 21:28:22 | Machine: Compressor-C | Temperature: 62 C | Vibration: 9 mm/s | Pressure: 102 PSI | Status: WARNING
2026-09-03 21:28:22 | Machine: Motor-A | Temperature: 62 C | Vibration: 9 mm/s | Pressure: 102 PSI | Status: WARNING
2026-09-03 21:28:22 | Machine: Pump-B | Temperature: 62 C | Vibration: 9 mm/s | Pressure: 102 PSI | Status: WARNING
2026-09-03 21:28:26 | Machine: Compressor-C | Temperature: 80 C | Vibration: 10 mm/s | Pressure: 105 PSI | Status: CRITICAL
2026-09-03 21:28:26 | Machine: Pump-B | Temperature: 80 C | Vibration: 10 mm/s | Pressure: 105 PSI | Status: CRITICAL
2026-09-03 21:28:26 | Machine: Motor-A | Temperature: 80 C | Vibration: 10 mm/s | Pressure: 105 PSI | Status: CRITICAL
2026-09-03 21:28:29 | Machine: Pump-B | Temperature: 93 C | Vibration: 6 mm/s | Pressure: 98 PSI | Status: WARNING
2026-09-03 21:28:29 | Machine: Compressor-C | Temperature: 93 C | Vibration: 6 mm/s | Pressure: 98 PSI | Status: WARNING
2026-09-03 21:28:29 | Machine: Motor-A | Temperature: 93 C | Vibration: 6 mm/s | Pressure: 98 PSI | Status: WARNING
2026-09-03 21:28:32 | Machine: Pump-B | Temperature: 72 C | Vibration: 4 mm/s | Pressure: 109 PSI | Status: NORMAL
2026-09-03 21:28:32 | Machine: Compressor-C | Temperature: 72 C | Vibration: 4 mm/s | Pressure: 109 PSI | Status: NORMAL
2026-09-03 21:28:32 | Machine: Motor-A | Temperature: 72 C | Vibration: 4 mm/s | Pressure: 109 PSI | Status: NORMAL
2026-09-03 21:28:35 | Machine: Pump-B | Temperature: 100 C | Vibration: 4 mm/s | Pressure: 107 PSI | Status: WARNING
2026-09-03 21:28:35 | Machine: Compressor-C | Temperature: 100 C | Vibration: 4 mm/s | Pressure: 107 PSI | Status: WARNING
2026-09-03 21:28:35 | Machine: Motor-A | Temperature: 100 C | Vibration: 4 mm/s | Pressure: 107 PSI | Status: WARNING
2026-09-03 21:28:38 | Machine: Pump-B | Temperature: 66 C | Vibration: 9 mm/s | Pressure: 97 PSI | Status: WARNING
2026-09-03 21:28:38 | Machine: Motor-A | Temperature: 66 C | Vibration: 9 mm/s | Pressure: 97 PSI | Status: WARNING
2026-09-03 21:28:38 | Machine: Compressor-C | Temperature: 66 C | Vibration: 9 mm/s | Pressure: 97 PSI | Status: WARNING
2026-09-03 21:28:41 | Machine: Motor-A | Temperature: 87 C | Vibration: 7 mm/s | Pressure: 118 PSI | Status: CRITICAL
2026-09-03 21:28:41 | Machine: Pump-B | Temperature: 87 C | Vibration: 7 mm/s | Pressure: 118 PSI | Status: CRITICAL
2026-09-03 21:28:41 | Machine: Compressor-C | Temperature: 87 C | Vibration: 7 mm/s | Pressure: 118 PSI | Status: CRITICAL
2026-09-03 21:28:44 | Machine: Pump-B | Temperature: 92 C | Vibration: 10 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 21:28:44 | Machine: Motor-A | Temperature: 92 C | Vibration: 10 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 21:28:44 | Machine: Compressor-C | Temperature: 92 C | Vibration: 10 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 21:28:47 | Machine: Motor-A | Temperature: 70 C | Vibration: 8 mm/s | Pressure: 93 PSI | Status: WARNING
2026-09-03 21:28:47 | Machine: Pump-B | Temperature: 70 C | Vibration: 8 mm/s | Pressure: 93 PSI | Status: WARNING
2026-09-03 21:28:47 | Machine: Compressor-C | Temperature: 70 C | Vibration: 8 mm/s | Pressure: 93 PSI | Status: WARNING
2026-09-03 21:28:50 | Machine: Pump-B | Temperature: 69 C | Vibration: 9 mm/s | Pressure: 113 PSI | Status: WARNING
2026-09-03 21:28:50 | Machine: Motor-A | Temperature: 69 C | Vibration: 9 mm/s | Pressure: 113 PSI | Status: WARNING
2026-09-03 21:28:50 | Machine: Compressor-C | Temperature: 69 C | Vibration: 9 mm/s | Pressure: 113 PSI | Status: WARNING
2026-09-03 21:28:53 | Machine: Pump-B | Temperature: 80 C | Vibration: 10 mm/s | Pressure: 107 PSI | Status: CRITICAL
2026-09-03 21:28:53 | Machine: Motor-A | Temperature: 80 C | Vibration: 10 mm/s | Pressure: 107 PSI | Status: CRITICAL
2026-09-03 21:28:53 | Machine: Compressor-C | Temperature: 80 C | Vibration: 10 mm/s | Pressure: 107 PSI | Status: CRITICAL
2026-09-03 21:28:56 | Machine: Pump-B | Temperature: 86 C | Vibration: 9 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:28:56 | Machine: Compressor-C | Temperature: 86 C | Vibration: 9 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:28:56 | Machine: Motor-A | Temperature: 86 C | Vibration: 9 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:28:59 | Machine: Pump-B | Temperature: 87 C | Vibration: 9 mm/s | Pressure: 89 PSI | Status: WARNING
2026-09-03 21:28:59 | Machine: Compressor-C | Temperature: 87 C | Vibration: 9 mm/s | Pressure: 89 PSI | Status: WARNING
2026-09-03 21:28:59 | Machine: Motor-A | Temperature: 87 C | Vibration: 9 mm/s | Pressure: 89 PSI | Status: WARNING
2026-09-03 21:29:02 | Machine: Pump-B | Temperature: 96 C | Vibration: 3 mm/s | Pressure: 90 PSI | Status: WARNING
2026-09-03 21:29:02 | Machine: Motor-A | Temperature: 96 C | Vibration: 3 mm/s | Pressure: 90 PSI | Status: WARNING
2026-09-03 21:29:02 | Machine: Compressor-C | Temperature: 96 C | Vibration: 3 mm/s | Pressure: 90 PSI | Status: WARNING
2026-09-03 21:29:05 | Machine: Pump-B | Temperature: 107 C | Vibration: 6 mm/s | Pressure: 113 PSI | Status: CRITICAL
2026-09-03 21:29:05 | Machine: Motor-A | Temperature: 107 C | Vibration: 6 mm/s | Pressure: 113 PSI | Status: CRITICAL
2026-09-03 21:29:05 | Machine: Compressor-C | Temperature: 107 C | Vibration: 6 mm/s | Pressure: 113 PSI | Status: CRITICAL
2026-09-03 21:29:08 | Machine: Pump-B | Temperature: 62 C | Vibration: 3 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-03 21:29:08 | Machine: Motor-A | Temperature: 62 C | Vibration: 3 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-03 21:29:08 | Machine: Compressor-C | Temperature: 62 C | Vibration: 3 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-03 21:29:11 | Machine: Pump-B | Temperature: 65 C | Vibration: 4 mm/s | Pressure: 101 PSI | Status: NORMAL
2026-09-03 21:29:11 | Machine: Motor-A | Temperature: 65 C | Vibration: 4 mm/s | Pressure: 101 PSI | Status: NORMAL
2026-09-03 21:29:11 | Machine: Compressor-C | Temperature: 65 C | Vibration: 4 mm/s | Pressure: 101 PSI | Status: NORMAL
2026-09-03 21:29:14 | Machine: Compressor-C | Temperature: 108 C | Vibration: 5 mm/s | Pressure: 102 PSI | Status: CRITICAL
2026-09-03 21:29:14 | Machine: Motor-A | Temperature: 108 C | Vibration: 5 mm/s | Pressure: 102 PSI | Status: CRITICAL
2026-09-03 21:29:14 | Machine: Pump-B | Temperature: 108 C | Vibration: 5 mm/s | Pressure: 102 PSI | Status: CRITICAL
2026-09-03 21:29:17 | Machine: Pump-B | Temperature: 62 C | Vibration: 9 mm/s | Pressure: 111 PSI | Status: WARNING
2026-09-03 21:29:17 | Machine: Compressor-C | Temperature: 62 C | Vibration: 9 mm/s | Pressure: 111 PSI | Status: WARNING
2026-09-03 21:29:17 | Machine: Motor-A | Temperature: 62 C | Vibration: 9 mm/s | Pressure: 111 PSI | Status: WARNING
2026-09-03 21:29:20 | Machine: Pump-B | Temperature: 96 C | Vibration: 2 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:29:20 | Machine: Motor-A | Temperature: 96 C | Vibration: 2 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:29:20 | Machine: Compressor-C | Temperature: 96 C | Vibration: 2 mm/s | Pressure: 80 PSI | Status: WARNING
2026-09-03 21:29:23 | Machine: Motor-A | Temperature: 98 C | Vibration: 7 mm/s | Pressure: 92 PSI | Status: WARNING
2026-09-03 21:29:23 | Machine: Pump-B | Temperature: 98 C | Vibration: 7 mm/s | Pressure: 92 PSI | Status: WARNING
2026-09-03 21:29:23 | Machine: Compressor-C | Temperature: 98 C | Vibration: 7 mm/s | Pressure: 92 PSI | Status: WARNING
2026-09-03 21:29:27 | Machine: Motor-A | Temperature: 71 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: NORMAL
2026-09-03 21:29:27 | Machine: Pump-B | Temperature: 71 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: NORMAL
2026-09-03 21:29:27 | Machine: Compressor-C | Temperature: 71 C | Vibration: 6 mm/s | Pressure: 91 PSI | Status: NORMAL
2026-09-03 21:29:30 | Machine: Motor-A | Temperature: 110 C | Vibration: 1 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 21:29:30 | Machine: Pump-B | Temperature: 110 C | Vibration: 1 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 21:29:30 | Machine: Compressor-C | Temperature: 110 C | Vibration: 1 mm/s | Pressure: 91 PSI | Status: CRITICAL
2026-09-03 21:29:33 | Machine: Motor-A | Temperature: 103 C | Vibration: 2 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 21:29:33 | Machine: Compressor-C | Temperature: 103 C | Vibration: 2 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 21:29:33 | Machine: Pump-B | Temperature: 103 C | Vibration: 2 mm/s | Pressure: 90 PSI | Status: CRITICAL
2026-09-03 21:29:36 | Machine: Motor-A | Temperature: 99 C | Vibration: 10 mm/s | Pressure: 83 PSI | Status: CRITICAL
2026-09-03 21:29:36 | Machine: Compressor-C | Temperature: 99 C | Vibration: 10 mm/s | Pressure: 83 PSI | Status: CRITICAL
2026-09-03 21:29:36 | Machine: Pump-B | Temperature: 99 C | Vibration: 10 mm/s | Pressure: 83 PSI | Status: CRITICAL
2026-09-03 21:29:39 | Machine: Pump-B | Temperature: 61 C | Vibration: 3 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-03 21:29:39 | Machine: Motor-A | Temperature: 61 C | Vibration: 3 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-03 21:29:39 | Machine: Compressor-C | Temperature: 61 C | Vibration: 3 mm/s | Pressure: 87 PSI | Status: NORMAL
2026-09-03 21:29:42 | Machine: Compressor-C | Temperature: 68 C | Vibration: 6 mm/s | Pressure: 108 PSI | Status: NORMAL
2026-09-03 21:29:42 | Machine: Pump-B | Temperature: 68 C | Vibration: 6 mm/s | Pressure: 108 PSI | Status: NORMAL
2026-09-03 21:29:42 | Machine: Motor-A | Temperature: 68 C | Vibration: 6 mm/s | Pressure: 108 PSI | Status: NORMAL
2026-09-03 21:29:45 | Machine: Motor-A | Temperature: 70 C | Vibration: 8 mm/s | Pressure: 98 PSI | Status: WARNING
2026-09-03 21:29:45 | Machine: Pump-B | Temperature: 70 C | Vibration: 8 mm/s | Pressure: 98 PSI | Status: WARNING
2026-09-03 21:29:45 | Machine: Compressor-C | Temperature: 70 C | Vibration: 8 mm/s | Pressure: 98 PSI | Status: WARNING
2026-09-03 21:29:48 | Machine: Motor-A | Temperature: 100 C | Vibration: 3 mm/s | Pressure: 108 PSI | Status: WARNING
2026-09-03 21:29:48 | Machine: Pump-B | Temperature: 100 C | Vibration: 3 mm/s | Pressure: 108 PSI | Status: WARNING
2026-09-03 21:29:48 | Machine: Compressor-C | Temperature: 100 C | Vibration: 3 mm/s | Pressure: 108 PSI | Status: WARNING
2026-09-03 21:29:51 | Machine: Motor-A | Temperature: 72 C | Vibration: 2 mm/s | Pressure: 90 PSI | Status: NORMAL
2026-09-03 21:29:51 | Machine: Pump-B | Temperature: 72 C | Vibration: 2 mm/s | Pressure: 90 PSI | Status: NORMAL
2026-09-03 21:29:51 | Machine: Compressor-C | Temperature: 72 C | Vibration: 2 mm/s | Pressure: 90 PSI | Status: NORMAL
2026-09-03 21:29:54 | Machine: Pump-B | Temperature: 95 C | Vibration: 10 mm/s | Pressure: 111 PSI | Status: CRITICAL
2026-09-03 21:29:54 | Machine: Motor-A | Temperature: 95 C | Vibration: 10 mm/s | Pressure: 111 PSI | Status: CRITICAL
2026-09-03 21:29:54 | Machine: Compressor-C | Temperature: 95 C | Vibration: 10 mm/s | Pressure: 111 PSI | Status: CRITICAL
2026-09-03 21:29:57 | Machine: Compressor-C | Temperature: 90 C | Vibration: 6 mm/s | Pressure: 98 PSI | Status: NORMAL
2026-09-03 21:29:57 | Machine: Pump-B | Temperature: 90 C | Vibration: 6 mm/s | Pressure: 98 PSI | Status: NORMAL
2026-09-03 21:29:57 | Machine: Motor-A | Temperature: 90 C | Vibration: 6 mm/s | Pressure: 98 PSI | Status: NORMAL
2026-09-03 21:30:00 | Machine: Compressor-C | Temperature: 77 C | Vibration: 10 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 21:30:00 | Machine: Motor-A | Temperature: 77 C | Vibration: 10 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 21:30:00 | Machine: Pump-B | Temperature: 77 C | Vibration: 10 mm/s | Pressure: 100 PSI | Status: CRITICAL
2026-09-03 21:30:03 | Machine: Compressor-C | Temperature: 86 C | Vibration: 6 mm/s | Pressure: 100 PSI | Status: NORMAL
2026-09-03 21:30:03 | Machine: Pump-B | Temperature: 86 C | Vibration: 6 mm/s | Pressure: 100 PSI | Status: NORMAL
2026-09-03 21:30:03 | Machine: Motor-A | Temperature: 86 C | Vibration: 6 mm/s | Pressure: 100 PSI | Status: NORMAL
